2023-12-16 15:27:00 status half-configured perl-base:amd64 5.36.0-7+deb12u1
2023-12-16 15:27:01 status unpacked perl-base:amd64 5.36.0-7+deb12u1
2023-12-16 15:27:01 status half-installed perl-base:amd64 5.36.0-7+deb12u1
2023-12-16 15:27:11 status unpacked perl-base:amd64 5.36.0-7+deb12u1
2023-12-16 15:27:12 install libsemanage-common:all <none> 3.4-1
2023-12-16 15:27:12 status half-installed libsemanage-common:all 3.4-1
2023-12-16 15:27:12 status unpacked libsemanage-common:all 3.4-1
2023-12-16 15:27:13 install libsepol2:amd64 <none> 3.4-2.1
2023-12-16 15:27:13 status half-installed libsepol2:amd64 3.4-2.1
2023-12-16 15:27:13 status unpacked libsepol2:amd64 3.4-2.1
2023-12-16 15:27:13 install libsemanage2:amd64 <none> 3.4-1+b5
2023-12-16 15:27:13 status half-installed libsemanage2:amd64 3.4-1+b5
2023-12-16 15:27:14 status unpacked libsemanage2:amd64 3.4-1+b5
2023-12-16 15:27:14 install passwd:amd64 <none> 1:4.13+dfsg1-1+b1
2023-12-16 15:27:14 status half-installed passwd:amd64 1:4.13+dfsg1-1+b1
2023-12-16 15:27:17 status unpacked passwd:amd64 1:4.13+dfsg1-1+b1
2023-12-16 15:27:17 install libtinfo6:amd64 <none> 6.4-4
2023-12-16 15:27:17 status half-installed libtinfo6:amd64 6.4-4
2023-12-16 15:27:18 status unpacked libtinfo6:amd64 6.4-4
2023-12-16 15:27:18 install libsmartcols1:amd64 <none> 2.38.1-5+b1
2023-12-16 15:27:18 status half-installed libsmartcols1:amd64 2.38.1-5+b1
2023-12-16 15:27:18 status unpacked libsmartcols1:amd64 2.38.1-5+b1
2023-12-16 15:27:19 install libss2:amd64 <none> 1.47.0-2
2023-12-16 15:27:19 status half-installed libss2:amd64 1.47.0-2
2023-12-16 15:27:19 status unpacked libss2:amd64 1.47.0-2
2023-12-16 15:27:19 install libuuid1:amd64 <none> 2.38.1-5+b1
2023-12-16 15:27:19 status half-installed libuuid1:amd64 2.38.1-5+b1
2023-12-16 15:27:20 status unpacked libuuid1:amd64 2.38.1-5+b1
2023-12-16 15:27:20 install logsave:amd64 <none> 1.47.0-2
2023-12-16 15:27:20 status half-installed logsave:amd64 1.47.0-2
2023-12-16 15:27:21 status unpacked logsave:amd64 1.47.0-2
2023-12-16 15:27:21 install login:amd64 <none> 1:4.13+dfsg1-1+b1
2023-12-16 15:27:21 status half-installed login:amd64 1:4.13+dfsg1-1+b1
2023-12-16 15:27:23 status unpacked login:amd64 1:4.13+dfsg1-1+b1
2023-12-16 15:27:23 install mount:amd64 <none> 2.38.1-5+b1
2023-12-16 15:27:23 status half-installed mount:amd64 2.38.1-5+b1
2023-12-16 15:27:24 status unpacked mount:amd64 2.38.1-5+b1
2023-12-16 15:27:24 install ncurses-base:all <none> 6.4-4
2023-12-16 15:27:24 status half-installed ncurses-base:all 6.4-4
2023-12-16 15:27:24 status unpacked ncurses-base:all 6.4-4
2023-12-16 15:27:25 install ncurses-bin:amd64 <none> 6.4-4
2023-12-16 15:27:25 status half-installed ncurses-bin:amd64 6.4-4
2023-12-16 15:27:25 status unpacked ncurses-bin:amd64 6.4-4
2023-12-16 15:27:25 install sed:amd64 <none> 4.9-1
2023-12-16 15:27:25 status half-installed sed:amd64 4.9-1
2023-12-16 15:27:26 status unpacked sed:amd64 4.9-1
2023-12-16 15:27:26 install sysvinit-utils:amd64 <none> 3.06-4
2023-12-16 15:27:26 status half-installed sysvinit-utils:amd64 3.06-4
2023-12-16 15:27:26 status unpacked sysvinit-utils:amd64 3.06-4
2023-12-16 15:27:27 install tzdata:all <none> 2023c-5+deb12u1
2023-12-16 15:27:27 status half-installed tzdata:all 2023c-5+deb12u1
2023-12-16 15:27:35 status unpacked tzdata:all 2023c-5+deb12u1
2023-12-16 15:27:35 install usr-is-merged:all <none> 35
2023-12-16 15:27:35 status half-installed usr-is-merged:all 35
2023-12-16 15:27:36 status unpacked usr-is-merged:all 35
2023-12-16 15:27:36 install util-linux-extra:amd64 <none> 2.38.1-5+b1
2023-12-16 15:27:36 status half-installed util-linux-extra:amd64 2.38.1-5+b1
2023-12-16 15:27:36 status unpacked util-linux-extra:amd64 2.38.1-5+b1
2023-12-16 15:27:37 install util-linux:amd64 <none> 2.38.1-5+b1
2023-12-16 15:27:37 status half-installed util-linux:amd64 2.38.1-5+b1
2023-12-16 15:27:40 status unpacked util-linux:amd64 2.38.1-5+b1
2023-12-16 15:27:40 startup packages configure
2023-12-16 15:27:40 configure debian-archive-keyring:all 2023.3+deb12u1 <none>
2023-12-16 15:27:40 status unpacked debian-archive-keyring:all 2023.3+deb12u1
2023-12-16 15:27:41 status half-configured debian-archive-keyring:all 2023.3+deb12u1
2023-12-16 15:27:41 status installed debian-archive-keyring:all 2023.3+deb12u1
2023-12-16 15:27:41 configure usr-is-merged:all 35 <none>
2023-12-16 15:27:41 status unpacked usr-is-merged:all 35
2023-12-16 15:27:41 status half-configured usr-is-merged:all 35
2023-12-16 15:27:41 status installed usr-is-merged:all 35
2023-12-16 15:27:42 configure libaudit-common:all 1:3.0.9-1 <none>
2023-12-16 15:27:42 status unpacked libaudit-common:all 1:3.0.9-1
2023-12-16 15:27:42 status half-configured libaudit-common:all 1:3.0.9-1
2023-12-16 15:27:42 status installed libaudit-common:all 1:3.0.9-1
2023-12-16 15:27:42 configure libsemanage-common:all 3.4-1 <none>
2023-12-16 15:27:42 status unpacked libsemanage-common:all 3.4-1
2023-12-16 15:27:42 status half-configured libsemanage-common:all 3.4-1
2023-12-16 15:27:42 status installed libsemanage-common:all 3.4-1
2023-12-16 15:27:42 configure debconf:all 1.5.82 <none>
2023-12-16 15:27:42 status unpacked debconf:all 1.5.82
2023-12-16 15:27:43 status half-configured debconf:all 1.5.82
2023-12-16 15:27:43 status installed debconf:all 1.5.82
2023-12-16 15:27:43 configure gcc-12-base:amd64 12.2.0-14 <none>
2023-12-16 15:27:43 status unpacked gcc-12-base:amd64 12.2.0-14
2023-12-16 15:27:43 status half-configured gcc-12-base:amd64 12.2.0-14
2023-12-16 15:27:43 status installed gcc-12-base:amd64 12.2.0-14
2023-12-16 15:27:43 configure tzdata:all 2023c-5+deb12u1 <none>
2023-12-16 15:27:43 status unpacked tzdata:all 2023c-5+deb12u1
2023-12-16 15:27:44 status half-configured tzdata:all 2023c-5+deb12u1
2023-12-16 15:27:44 status installed tzdata:all 2023c-5+deb12u1
